order_id,quantity,choice_count,item_price
1,4,2.0,11.56
2,2,5.0,16.98
3,2,6.0,12.67
4,2,13.0,21.0
5,2,7.0,13.7
6,2,11.0,17.5
7,2,6.0,15.7
8,2,4.0,10.88
9,3,7.0,10.67
10,2,6.0,13.2
11,2,8.0,12.38
12,2,9.0,14.370000000000001
13,2,7.0,10.88
14,2,7.0,10.08
15,2,5.0,10.88
16,2,5.0,10.68
17,2,7.0,10.08
18,4,5.0,24.9
19,2,8.0,13.9
20,4,18.0,36.2
21,3,12.0,23.36
22,2,6.0,12.98
23,3,7.0,11.17
24,2,9.0,12.07
25,2,6.0,11.38
26,2,12.0,20.5
27,2,8.0,13.9
28,4,14.0,33.7
29,2,12.0,17.98
30,3,11.0,23.36
31,2,4.0,10.68
32,2,6.0,12.98
33,2,5.0,13.2
34,4,17.0,28.4
35,2,5.0,13.4
36,2,12.0,18.0
37,2,6.0,18.0
38,3,12.0,18.57
39,2,5.0,12.2
40,3,13.0,32.75
41,2,3.0,16.2
42,2,5.0,13.7
43,2,11.0,20.5
44,2,5.0,13.2
45,3,10.0,21.97
46,2,7.0,11.88
47,2,6.0,10.08
48,2,6.0,13.7
49,3,6.0,16.15
50,2,5.0,10.88
51,3,15.0,18.57
52,2,5.0,12.98
53,3,12.0,22.45
54,2,6.0,15.7
55,2,6.0,10.08
56,3,5.0,16.65
57,2,6.0,16.2
58,2,5.0,10.88
59,1,5.0,10.98
60,2,4.0,22.5
61,2,8.0,16.2
62,2,6.0,15.7
63,2,5.0,15.7
64,2,13.0,22.5
65,3,11.0,25.45
66,1,5.0,11.48
67,3,5.0,19.67
68,3,6.0,21.95
69,2,5.0,10.88
70,3,4.0,21.95
71,3,12.0,27.45
72,1,9.0,10.98
73,4,16.0,21.650000000000002
74,3,16.0,22.36
75,4,16.0,36.2
76,3,7.0,10.67
77,2,7.0,11.88
78,2,4.0,17.48
79,1,8.0,10.98
80,1,5.0,11.48
81,3,7.0,10.67
82,3,9.0,20.95
83,3,11.0,24.95
84,3,14.0,28.46
85,2,6.0,11.38
86,3,11.0,22.95
87,2,5.0,10.08
88,2,5.0,10.88
89,3,8.0,16.060000000000002
90,2,13.0,20.0
91,2,7.0,11.88
92,3,10.0,20.15
93,4,24.0,38.2
94,2,4.0,22.5
95,2,7.0,16.2
96,4,14.0,35.0
97,3,9.0,20.15
98,4,9.0,22.3
99,2,4.0,13.4
100,2,5.0,10.08
101,2,6.0,12.98
102,3,7.0,14.65
103,5,15.0,36.15
104,2,5.0,12.2
105,2,6.0,17.5
106,2,11.0,18.0
107,1,7.0,10.98
108,4,13.0,20.16
109,2,9.0,12.07
110,4,17.0,36.0
111,2,10.0,17.5
112,2,12.0,17.98
113,2,5.0,10.08
114,2,7.0,13.0
115,2,3.0,11.38
116,2,4.0,12.2
117,2,5.0,12.98
118,2,5.0,10.88
119,2,14.0,16.98
120,2,4.0,10.18
121,2,5.0,12.48
122,3,5.0,11.77
123,2,4.0,23.78
124,4,9.0,28.4
125,4,17.0,31.7
126,2,10.0,20.0
127,2,6.0,12.5
128,3,11.0,24.95
129,2,5.0,18.240000000000002
130,2,2.0,11.38
131,2,6.0,10.88
132,3,13.0,22.15
133,2,4.0,10.68
134,3,12.0,22.15
135,2,5.0,13.2
136,2,5.0,17.48
137,2,2.0,17.5
138,3,5.0,10.67
139,3,6.0,12.15
140,1,5.0,11.08
141,2,14.0,16.98
142,2,2.0,11.38
143,3,3.0,12.4
144,2,7.0,13.4
145,2,10.0,16.98
146,2,11.0,21.0
147,2,6.0,13.0
148,4,14.0,30.94
149,6,13.0,30.4
150,4,7.0,13.06
151,3,5.0,10.67
152,2,5.0,22.16
153,2,2.0,17.5
154,3,7.0,18.19
155,3,6.0,15.77
156,2,9.0,17.48
157,2,7.0,13.4
158,2,6.0,14.2
159,2,8.0,12.5
160,2,6.0,10.08
161,2,8.0,17.5
162,2,5.0,12.2
163,2,6.0,13.25
164,2,5.0,10.08
165,2,7.0,12.5
166,3,13.0,25.15
167,2,5.0,10.68
168,2,8.0,18.240000000000002
169,2,6.0,18.0
170,3,8.0,16.95
171,2,2.0,15.7
172,2,12.0,17.48
173,2,9.0,17.48
174,2,7.0,12.5
175,2,7.0,13.0
176,3,9.0,25.45
177,2,7.0,13.4
178,3,9.0,32.94
179,2,5.0,12.5
180,3,7.0,14.26
181,2,1.0,17.5
182,3,6.0,20.19
183,2,12.0,18.0
184,5,14.0,31.85
185,2,3.0,17.5
186,4,17.0,37.33
187,2,5.0,10.68
188,2,8.0,10.08
189,2,9.0,14.370000000000001
190,2,7.0,10.08
191,2,12.0,18.0
192,4,12.0,27.9
193,3,5.0,22.2
194,2,10.0,17.48
195,8,46.0,81.0
196,4,10.0,24.2
197,2,7.0,10.18
198,2,14.0,23.0
199,3,11.0,21.95
200,2,5.0,12.48
201,2,5.0,12.48
202,3,7.0,14.26
203,2,5.0,12.75
204,2,7.0,12.27
205,11,54.0,101.15
206,5,13.0,29.95
207,3,11.0,24.95
208,2,3.0,12.48
209,2,8.0,18.5
210,2,10.0,20.5
211,2,11.0,23.0
212,4,10.0,26.0
213,2,4.0,17.48
214,2,13.0,14.8
215,5,13.0,25.349999999999998
216,2,5.0,13.2
217,3,9.0,22.200000000000003
218,2,4.0,12.98
219,2,6.0,10.68
220,2,10.0,17.5
221,2,11.0,17.5
222,3,10.0,25.45
223,3,9.0,27.25
224,2,5.0,12.48
225,6,6.0,25.7
226,3,10.0,22.45
227,3,9.0,24.45
228,1,6.0,10.98
229,2,5.0,22.16
230,5,4.0,38.19
231,6,20.0,45.1
232,2,1.0,12.2
233,4,18.0,28.5
234,4,11.0,31.2
235,3,18.0,35.25
236,2,10.0,18.5
237,5,8.0,26.150000000000002
238,2,10.0,21.0
239,2,7.0,13.4
240,3,6.0,22.45
241,1,7.0,10.98
242,2,8.0,20.5
243,2,6.0,22.5
244,3,4.0,13.7
245,1,6.0,11.48
246,2,5.0,10.18
247,5,18.0,32.25
248,2,6.0,16.2
249,2,6.0,13.2
250,2,7.0,21.28
251,3,6.0,12.95
252,2,9.0,18.0
253,2,6.0,23.78
254,4,10.0,21.4
255,2,5.0,12.48
256,2,8.0,12.07
257,2,1.0,13.2
258,4,8.0,27.9
259,2,12.0,18.0
260,2,5.0,12.48
261,2,4.0,22.5
262,2,4.0,12.5
263,2,11.0,17.5
264,3,5.0,24.990000000000002
265,3,9.0,21.95
266,2,5.0,12.48
267,2,5.0,10.08
268,2,6.0,10.88
269,2,5.0,13.17
270,4,6.0,13.25
271,3,4.0,20.45
272,2,5.0,13.2
273,2,13.0,20.5
274,2,6.0,10.18
275,2,5.0,12.48
276,4,20.0,30.96
277,3,8.0,16.95
278,2,8.0,14.97
279,4,10.0,21.8
280,2,5.0,12.48
281,2,5.0,13.7
282,3,8.0,24.25
283,2,6.0,13.4
284,6,14.0,31.2
285,2,7.0,11.38
286,3,5.0,14.45
287,4,13.0,19.66
288,4,6.0,11.76
289,3,5.0,12.95
290,2,5.0,12.75
291,3,7.0,13.45
292,2,5.0,12.48
293,1,8.0,11.48
294,2,5.0,12.48
295,2,8.0,12.5
296,2,5.0,10.68
297,2,9.0,12.5
298,2,7.0,15.24
299,3,7.0,20.95
300,2,11.0,20.5
301,3,6.0,19.669999999999998
302,2,5.0,12.48
303,2,12.0,17.5
304,4,20.0,35.5
305,3,5.0,21.75
306,2,7.0,18.240000000000002
307,2,5.0,12.48
308,2,6.0,13.4
309,2,10.0,23.14
310,2,6.0,10.68
311,4,20.0,30.96
312,3,11.0,20.65
313,2,11.0,14.8
314,2,7.0,17.5
315,2,3.0,13.7
316,2,9.0,12.5
317,3,9.0,24.25
318,2,5.0,12.48
319,2,4.0,17.48
320,3,7.0,12.15
321,3,8.0,10.67
322,3,6.0,12.95
323,3,4.0,12.65
324,2,7.0,12.5
325,4,5.0,15.7
326,5,20.0,35.15
327,2,13.0,22.5
328,2,6.0,14.97
329,2,7.0,14.97
330,2,6.0,10.68
331,2,12.0,18.0
332,2,6.0,10.08
333,2,5.0,12.2
334,2,10.0,18.0
335,2,5.0,12.48
336,2,10.0,17.5
337,2,4.0,22.5
338,7,14.0,28.32
339,1,4.0,11.08
340,2,6.0,13.2
341,1,7.0,11.08
342,2,5.0,12.48
343,7,24.0,54.05
344,3,14.0,25.97
345,3,6.0,16.15
346,4,7.0,30.2
347,2,3.0,15.7
348,2,5.0,16.98
349,2,4.0,10.88
350,4,7.0,15.0
351,2,5.0,13.7
352,3,10.0,22.95
353,2,10.0,18.0
354,2,11.0,18.0
355,2,11.0,18.5
356,2,10.0,20.47
357,2,4.0,22.5
358,3,9.0,24.25
359,3,6.0,12.15
360,3,10.0,21.25
361,2,5.0,12.75
362,2,10.0,22.5
363,4,6.0,24.64
364,2,5.0,13.2
365,2,6.0,12.5
366,3,2.0,26.75
367,4,13.0,23.5
368,2,13.0,16.98
369,3,10.0,23.96
370,2,5.0,13.2
371,2,6.0,10.68
372,2,11.0,20.5
373,2,6.0,15.7
374,2,8.0,13.0
375,2,6.0,14.7
376,3,7.0,11.17
377,3,8.0,26.97
378,2,6.0,10.18
379,7,19.0,38.95
380,4,14.0,24.15
381,2,3.0,11.88
382,2,5.0,12.58
383,2,5.0,13.2
384,4,16.0,30.9
385,2,6.0,10.18
386,2,12.0,16.98
387,4,19.0,33.5
388,2,5.0,10.08
389,6,13.0,35.8
390,2,5.0,12.48
391,2,8.0,12.98
392,3,5.0,11.27
393,2,7.0,10.08
394,2,7.0,18.0
395,2,4.0,11.38
396,4,11.0,25.0
397,2,8.0,18.5
398,2,6.0,12.75
399,2,5.0,12.48
400,3,15.0,31.75
401,2,4.0,17.5
402,5,19.0,35.15
403,2,5.0,11.38
404,3,14.0,22.65
405,2,6.0,12.5
406,2,6.0,13.0
407,2,10.0,23.0
408,3,14.0,23.75
409,2,11.0,19.47
410,3,7.0,18.75
411,2,9.0,16.98
412,3,5.0,14.7
413,3,12.0,24.25
414,2,7.0,10.88
415,2,6.0,13.7
416,2,2.0,18.0
417,2,4.0,10.68
418,2,4.0,17.5
419,3,10.0,20.37
420,2,6.0,15.7
421,2,5.0,13.2
422,2,6.0,15.74
423,2,11.0,19.47
424,3,6.0,11.27
425,2,5.0,13.7
426,3,6.0,12.95
427,2,5.0,12.48
428,3,10.0,25.65
429,1,4.0,11.48
430,3,4.0,12.15
431,3,7.0,14.65
432,3,6.0,23.990000000000002
433,2,7.0,10.68
434,2,10.0,20.5
435,2,8.0,12.07
436,2,7.0,11.88
437,3,4.0,12.15
438,2,13.0,22.46
439,2,14.0,19.47
440,3,9.0,21.45
441,2,7.0,16.2
442,1,6.0,11.48
443,3,13.0,24.45
444,2,6.0,10.68
445,3,5.0,14.7
446,2,6.0,13.9
447,2,6.0,11.38
448,3,8.0,12.95
449,3,4.0,12.15
450,5,6.0,15.84
451,3,9.0,23.45
452,2,7.0,13.0
453,1,6.0,10.58
454,2,4.0,11.38
455,2,6.0,16.2
456,2,15.0,22.5
457,3,9.0,26.25
458,2,11.0,17.5
459,2,4.0,22.5
460,3,10.0,22.45
461,2,8.0,13.0
462,2,7.0,14.2
463,2,5.0,10.68
464,2,6.0,15.7
465,2,7.0,15.24
466,3,11.0,22.45
467,3,12.0,27.95
468,3,12.0,28.09
469,3,7.0,15.7
470,2,6.0,13.2
471,5,11.0,24.15
472,2,12.0,19.97
473,2,6.0,13.7
474,1,7.0,11.48
475,3,9.0,21.45
476,2,15.0,17.48
477,2,9.0,17.48
478,4,11.0,28.04
479,3,12.0,20.46
480,3,4.0,12.15
481,5,5.0,35.39
482,4,12.0,23.2
483,2,12.0,22.96
484,3,5.0,11.17
485,6,10.0,24.44
486,2,5.0,13.2
487,2,8.0,20.5
488,6,24.0,50.9
489,2,9.0,16.98
490,2,4.0,10.68
491,9,47.0,93.25
492,1,7.0,10.98
493,2,7.0,15.7
494,2,10.0,19.47
495,2,8.0,12.38
496,5,8.0,17.55
497,3,4.0,21.95
498,3,10.0,26.95
499,2,4.0,13.7
500,3,4.0,12.15
501,2,9.0,14.84
502,2,7.0,13.0
503,2,7.0,15.7
504,2,12.0,22.96
505,2,6.0,12.2
506,3,10.0,20.95
507,3,14.0,24.25
508,2,3.0,11.38
509,4,12.0,25.0
510,2,5.0,12.48
511,17,19.0,104.59
512,1,8.0,10.98
513,3,6.0,20.37
514,3,8.0,20.15
515,2,3.0,13.2
516,2,4.0,10.18
517,2,9.0,16.88
518,1,9.0,10.98
519,3,13.0,26.950000000000003
520,3,6.0,19.689999999999998
521,2,8.0,17.5
522,3,5.0,14.95
523,2,4.0,10.18
524,2,7.0,13.7
525,2,10.0,10.08
526,2,7.0,14.2
527,3,13.0,26.05
528,1,7.0,10.98
529,3,15.0,31.25
530,4,9.0,22.3
531,2,6.0,12.48
532,2,7.0,10.68
533,2,4.0,10.18
534,3,21.0,34.89
535,4,11.0,24.4
536,2,6.0,13.2
537,2,6.0,13.2
538,1,10.0,10.98
539,2,10.0,19.97
540,2,4.0,13.7
541,2,14.0,23.64
542,2,8.0,17.48
543,2,10.0,18.0
544,2,10.0,17.5
545,3,11.0,27.95
546,4,14.0,25.5
547,2,5.0,10.68
548,2,6.0,13.9
549,5,11.0,28.15
550,2,5.0,12.2
551,2,9.0,20.0
552,4,11.0,31.9
553,3,8.0,16.560000000000002
554,2,7.0,12.2
555,3,11.0,19.17
556,1,6.0,10.98
557,2,6.0,14.2
558,2,8.0,10.68
559,3,4.0,12.15
560,5,10.0,23.45
561,9,26.0,51.2
562,2,11.0,22.96
563,3,10.0,19.65
564,2,5.0,13.0
565,2,10.0,18.5
566,2,7.0,18.240000000000002
567,3,11.0,18.07
568,1,5.0,10.98
569,3,4.0,12.15
570,2,6.0,12.75
571,2,10.0,22.5
572,2,9.0,16.98
573,3,4.0,11.5
574,4,5.0,13.4
575,3,6.0,18.8
576,3,3.0,27.89
577,11,27.0,71.15
578,2,4.0,22.5
579,2,9.0,12.57
580,2,9.0,16.98
581,2,2.0,17.5
582,2,6.0,12.75
583,2,9.0,18.0
584,2,5.0,12.48
585,3,16.0,26.25
586,2,7.0,17.5
587,2,6.0,13.25
588,3,17.0,25.45
589,2,9.0,19.97
590,3,12.0,22.45
591,3,8.0,11.97
592,2,6.0,17.5
593,1,8.0,11.48
594,2,14.0,17.48
595,2,7.0,10.88
596,3,13.0,23.46
597,2,5.0,16.2
598,3,4.0,12.15
599,2,8.0,19.97
600,2,5.0,12.75
601,3,4.0,12.15
602,3,17.0,26.75
603,2,7.0,12.75
604,3,5.0,14.45
605,1,5.0,10.98
606,3,7.0,12.95
607,3,7.0,12.95
608,3,10.0,19.37
609,2,6.0,12.5
610,1,7.0,8.75
611,2,10.0,18.0
612,2,8.0,13.14
613,3,7.0,12.15
614,2,6.0,10.08
615,2,4.0,13.2
616,3,6.0,26.25
617,2,5.0,13.2
618,2,5.0,14.7
619,2,12.0,17.5
620,2,9.0,20.5
621,2,17.0,22.5
622,3,6.0,16.95
623,4,28.0,34.46
624,3,6.0,15.370000000000001
625,2,4.0,13.2
626,3,7.0,12.65
627,2,13.0,23.0
628,5,14.0,35.35
629,3,7.0,18.75
630,2,4.0,13.4
631,3,4.0,14.65
632,2,7.0,13.0
633,4,5.0,13.0
634,3,2.0,14.45
635,5,14.0,48.45
636,3,9.0,20.45
637,5,11.0,29.29
638,4,6.0,17.4
639,3,4.0,12.15
640,2,6.0,14.7
641,2,6.0,12.38
642,2,7.0,18.5
643,3,5.0,20.45
644,2,7.0,13.39
645,2,7.0,14.2
646,2,15.0,20.5
647,2,6.0,14.2
648,4,9.0,22.3
649,6,22.0,41.8
650,3,4.0,12.15
651,3,11.0,20.37
652,3,10.0,24.35
653,2,13.0,23.0
654,6,19.0,38.9
655,3,5.0,15.2
656,3,8.0,14.770000000000001
657,2,6.0,13.4
658,2,15.0,23.0
659,2,6.0,16.2
660,2,5.0,16.2
661,2,12.0,18.0
662,2,12.0,17.48
663,2,16.0,17.48
664,2,12.0,20.5
665,2,6.0,12.48
666,2,4.0,14.97
667,3,15.0,25.97
668,2,10.0,16.98
669,2,7.0,13.4
670,4,4.0,29.2
671,2,12.0,16.98
672,2,5.0,12.07
673,2,7.0,13.4
674,3,7.0,12.95
675,2,10.0,18.5
676,2,5.0,12.2
677,3,6.0,12.15
678,2,5.0,12.98
679,2,6.0,13.9
680,2,8.0,12.38
681,2,12.0,18.0
682,3,10.0,26.95
683,3,4.0,12.15
684,2,5.0,16.2
685,2,4.0,12.2
686,2,9.0,16.98
687,3,9.0,24.45
688,5,30.0,49.45
689,2,7.0,10.18
690,2,7.0,11.88
691,11,62.0,118.25
692,2,7.0,21.96
693,2,8.0,12.67
694,2,13.0,20.47
695,2,3.0,10.18
696,3,2.0,12.9
697,2,6.0,12.75
698,3,7.0,20.45
699,2,5.0,10.18
700,3,5.0,12.95
701,2,7.0,13.4
702,1,4.0,11.08
703,3,15.0,25.47
704,2,3.0,13.0
705,2,8.0,20.5
706,3,14.0,21.95
707,2,6.0,12.75
708,4,12.0,41.74
709,3,6.0,19.69
710,4,5.0,13.4
711,2,5.0,10.88
712,3,12.0,24.95
713,2,11.0,19.97
714,2,5.0,12.2
715,2,7.0,18.5
716,2,9.0,20.5
717,2,9.0,17.5
718,1,9.0,10.98
719,2,13.0,20.5
720,3,10.0,19.65
721,2,6.0,13.4
722,2,6.0,16.2
723,2,6.0,10.88
724,2,6.0,10.5
725,3,7.0,12.15
726,2,8.0,10.18
727,2,6.0,12.75
728,2,8.0,17.5
729,2,6.0,12.48
730,2,6.0,10.08
731,2,8.0,12.5
732,3,10.0,19.37
733,2,8.0,18.0
734,4,15.0,38.84
735,2,10.0,17.48
736,2,6.0,13.2
737,5,17.0,41.15
738,2,5.0,12.34
739,2,6.0,12.48
740,3,4.0,12.15
741,2,7.0,21.96
742,2,7.0,10.18
743,2,6.0,13.2
744,2,11.0,17.48
745,2,9.0,12.48
746,4,14.0,29.2
747,2,6.0,17.5
748,2,4.0,12.2
749,2,6.0,15.24
750,3,5.0,13.05
751,3,3.0,12.4
752,3,9.0,19.37
753,2,2.0,13.7
754,3,7.0,22.69
755,2,7.0,12.67
756,2,8.0,18.64
757,2,5.0,12.2
758,3,6.0,12.15
759,18,34.0,86.3
760,2,14.0,22.5
761,2,11.0,19.47
762,3,3.0,12.4
763,4,3.0,14.15
764,3,5.0,12.95
765,2,4.0,12.48
766,3,7.0,15.55
767,2,5.0,13.9
768,2,4.0,18.5
769,2,6.0,10.88
770,3,11.0,24.95
771,2,5.0,12.98
772,2,12.0,18.5
773,3,6.0,13.2
774,2,8.0,18.240000000000002
775,2,14.0,17.48
776,3,6.0,19.69
777,2,4.0,22.5
778,2,5.0,12.2
779,2,9.0,10.18
780,1,7.0,10.98
781,2,5.0,13.2
782,2,4.0,14.2
783,3,12.0,19.87
784,3,11.0,29.490000000000002
785,2,5.0,14.7
786,2,6.0,10.68
787,6,26.0,30.240000000000002
788,2,6.0,10.08
789,2,10.0,17.48
790,2,6.0,12.07
791,5,21.0,45.65
792,4,9.0,27.4
793,2,3.0,13.25
794,3,13.0,22.36
795,3,3.0,20.15
796,3,6.0,12.4
797,2,9.0,12.98
798,4,6.0,24.14
799,2,3.0,12.98
800,2,6.0,17.5
801,2,7.0,12.5
802,1,6.0,10.98
803,5,5.0,17.95
804,2,6.0,15.7
805,3,5.0,16.65
806,5,19.0,40.35
807,4,9.0,24.7
808,3,5.0,12.95
809,2,5.0,13.2
810,2,10.0,22.96
811,2,7.0,10.88
812,3,9.0,25.15
813,3,6.0,12.4
814,4,14.0,31.4
815,2,8.0,12.5
816,4,18.0,31.7
817,3,18.0,26.75
818,9,33.0,70.85
819,1,7.0,10.98
820,2,19.0,16.98
821,1,4.0,10.98
822,2,11.0,17.98
823,4,15.0,41.0
824,2,3.0,12.48
825,2,4.0,12.67
826,2,6.0,17.5
827,2,6.0,11.38
828,2,5.0,11.38
829,3,5.0,12.95
830,2,10.0,23.0
831,2,5.0,17.5
832,3,8.0,19.37
833,2,4.0,12.75
834,4,5.0,13.0
835,2,2.0,13.2
836,3,12.0,27.95
837,2,7.0,21.96
838,2,4.0,13.2
839,2,5.0,20.5
840,2,5.0,11.38
841,2,14.0,18.0
842,4,12.0,26.85
843,2,7.0,13.25
844,3,14.0,22.45
845,2,6.0,13.0
846,3,7.0,19.0
847,3,3.0,12.4
848,7,20.0,55.45
849,3,7.0,22.19
850,4,11.0,24.3
851,2,6.0,15.7
852,2,7.0,11.38
853,2,7.0,18.5
854,2,5.0,13.7
855,4,11.0,28.1
856,1,7.0,11.25
857,3,3.0,12.4
858,2,6.0,13.7
859,4,6.0,22.150000000000002
860,3,6.0,14.45
861,2,7.0,11.38
862,2,5.0,13.2
863,1,4.0,10.98
864,2,5.0,13.25
865,1,7.0,10.98
866,3,11.0,21.47
867,2,10.0,17.48
868,4,15.0,29.96
869,2,11.0,22.5
870,1,6.0,10.98
871,1,10.0,10.98
872,3,9.0,16.76
873,3,5.0,12.95
874,2,8.0,13.25
875,2,5.0,12.67
876,2,1.0,13.2
877,2,10.0,17.5
878,2,4.0,13.2
879,4,21.0,38.0
880,3,12.0,21.47
881,3,14.0,31.25
882,2,5.0,13.2
883,3,7.0,14.45
884,3,6.0,12.4
885,2,14.0,23.5
886,2,13.0,23.5
887,2,6.0,13.25
888,5,14.0,30.15
889,2,10.0,10.08
890,3,12.0,27.45
891,3,8.0,19.65
892,3,2.0,12.65
893,2,13.0,23.0
894,3,13.0,24.45
895,2,4.0,10.18
896,2,6.0,17.5
897,2,10.0,17.48
898,3,10.0,23.45
899,3,3.0,22.689999999999998
900,2,13.0,20.47
901,7,20.0,33.32
902,1,6.0,11.48
903,3,3.0,12.4
904,2,6.0,10.68
905,2,7.0,12.5
906,2,10.0,18.5
907,6,12.0,38.3
908,2,14.0,19.47
909,4,9.0,22.3
910,2,6.0,18.0
911,3,5.0,12.15
912,5,11.0,24.65
913,4,15.0,31.7
914,2,12.0,21.0
915,4,3.0,13.9
916,8,24.0,52.45
917,1,6.0,10.98
918,2,5.0,17.5
919,3,7.0,12.15
920,1,7.0,10.98
921,3,6.0,12.4
922,3,6.0,12.95
923,2,10.0,18.5
924,2,6.0,10.88
925,2,5.0,13.2
926,21,98.0,187.75
927,2,12.0,17.98
928,3,7.0,12.95
929,2,6.0,13.25
930,2,12.0,22.5
931,3,4.0,12.4
932,2,4.0,16.98
933,2,6.0,13.25
934,4,6.0,14.55
935,3,5.0,12.95
936,3,6.0,14.95
937,3,15.0,24.45
938,3,4.0,12.15
939,2,6.0,12.67
940,3,11.0,18.75
941,3,18.0,28.75
942,2,5.0,10.18
943,2,17.0,21.0
